Transaction ID,Date,Month,Day,Year,Spending Category,Revenue,Amount Spent,Net Cash Flow,Monthly Budget,Monthly Budget Remaining,Budget Used %,Expense Description,Vendor Name,Vendor City,Vendor State,DMV Local Vendor,Vendor Ownership Classification,Invoice Number,Invoice Date,Payment Due Date,Payment Date,Payment Status,Days to Pay,On-Time Payment,Approval Required,Approval Status,Approver,Receipt Attached,Categorization Status,Automation Status,Duplicate Flag,Large Expense Flag,Category Anomaly Flag,Budget Alert,Review Required,Fair Operations Note,Invoice Reminder Sent,Monthly Report Included
TXN-2026-0011,01/11/2026,1,11,2026,Utilities,8666.12,3744.77,4921.35,100000.00,77357.22,0.2264,Water and facility utilities,Washington Gas,Washington,DC,Yes,Disability-Owned,INV-0111-0011,01/11/2026,02/10/2026,01/19/2026,Paid On Time,8,Yes,Yes,Approved,Casey Williams,Yes,Categorized,Expense categorized → Budget updated → Approval workflow triggered,No,No,No,No,No,Local DMV vendor; voluntarily identified as Disability-Owned,No,Yes
TXN-2026-0012,01/12/2026,1,12,2026,—,16266.97,0.00,16266.97,100000.00,77357.22,0.2264,Revenue-only day; no expense recorded,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,Not Applicable,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No expense workflow needed,No,No,No,No,No,No vendor payment on this date,No,Yes
TXN-2026-0013,01/13/2026,1,13,2026,Professional Services,15756.53,3105.93,12650.60,100000.00,74251.29,0.2575,Accounting and bookkeeping,Potomac Legal & Advisory,Bethesda,MD,Yes,Woman-Owned,INV-0113-0013,01/10/2026,02/09/2026,01/15/2026,Paid On Time,5,Yes,Yes,Approved,Jordan Lee,Yes,Categorized,Expense categorized → Budget updated → Approval workflow triggered,No,No,No,No,No,Local DMV vendor; voluntarily identified as Woman-Owned,No,Yes
TXN-2026-0014,01/14/2026,1,14,2026,Utilities,13561.26,3266.31,10294.95,100000.00,70984.98,0.2902,Water and facility utilities,Pepco,Washington,DC,Yes,Not Disclosed,INV-0114-0014,01/09/2026,01/24/2026,02/08/2026,Paid Late,30,No,Yes,Approved,Morgan Davis,Yes,Categorized,Expense categorized → Budget updated → Approval workflow triggered → Exception flagged,No,No,No,No,Yes,Vendor payment was late; review payment process,No,Yes
TXN-2026-0015,01/15/2026,1,15,2026,Payroll,15056.01,2982.46,12073.55,100000.00,68002.52,0.3200,Administrative payroll,Internal Payroll,Washington,DC,Yes,Not Disclosed,INV-0115-0015,01/11/2026,01/26/2026,01/18/2026,Paid On Time,7,Yes,Yes,Approved,Morgan Davis,Yes,Categorized,Expense categorized → Budget updated → Approval workflow triggered,No,No,No,No,No,Local DMV vendor,No,Yes
TXN-2026-0016,01/16/2026,1,16,2026,—,12733.01,0.00,12733.01,100000.00,68002.52,0.3200,Revenue-only day; no expense recorded,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,Not Applicable,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No expense workflow needed,No,No,No,No,No,No vendor payment on this date,No,Yes
TXN-2026-0017,01/17/2026,1,17,2026,Equipment,6324.57,1171.21,5153.36,100000.00,66831.31,0.3317,Office equipment replacement,Commonwealth Equipment Co.,Alexandria,VA,Yes,LGBTQ+-Owned,INV-0117-0017,01/12/2026,02/11/2026,02/18/2026,Paid Late,37,No,No,Auto-Approved,Policy Engine,Yes,Categorized,Expense categorized → Budget updated → Exception flagged,No,No,No,No,Yes,Vendor payment was late; review payment process,No,Yes
TXN-2026-0018,01/18/2026,1,18,2026,—,7039.04,0.00,7039.04,100000.00,66831.31,0.3317,Revenue-only day; no expense recorded,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,Not Applicable,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No expense workflow needed,No,No,No,No,No,No vendor payment on this date,No,Yes
TXN-2026-0019,01/19/2026,1,19,2026,—,12262.13,0.00,12262.13,100000.00,66831.31,0.3317,Revenue-only day; no expense recorded,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,Not Applicable,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No expense workflow needed,No,No,No,No,No,No vendor payment on this date,No,Yes
TXN-2026-0020,01/20/2026,1,20,2026,Payroll,15570.20,1131.07,14439.13,100000.00,65700.24,0.3430,Employee payroll disbursement,Internal Payroll,Washington,DC,Yes,Not Disclosed,INV-0120-0020,01/20/2026,02/19/2026,02/21/2026,Paid Late,32,No,No,Auto-Approved,Policy Engine,Yes,Categorized,Expense categorized → Budget updated → Exception flagged,No,No,No,No,Yes,Vendor payment was late; review payment process,No,Yes
TXN-2026-0021,01/21/2026,1,21,2026,—,16188.80,0.00,16188.80,100000.00,65700.24,0.3430,Revenue-only day; no expense recorded,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,Not Applicable,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No expense workflow needed,No,No,No,No,No,No vendor payment on this date,No,Yes
TXN-2026-0022,01/22/2026,1,22,2026,Office Supplies,13436.58,4263.78,9172.80,100000.00,61436.46,0.3856,Printer and paper supplies,District Business Supply,Washington,DC,Yes,Not Disclosed,INV-0122-0022,01/17/2026,03/03/2026,02/05/2026,Paid On Time,19,Yes,Yes,Approved,Morgan Davis,Yes,Categorized,Expense categorized → Budget updated → Approval workflow triggered → Exception flagged,No,Yes,Yes,No,Yes,Local DMV vendor,No,Yes
TXN-2026-0023,01/23/2026,1,23,2026,Operations,14892.55,1296.82,13595.73,100000.00,60139.64,0.3986,Facility operations expense,Virginia Business Logistics,Alexandria,VA,Yes,Veteran-Owned,INV-0123-0023,01/22/2026,03/08/2026,02/11/2026,Paid On Time,20,Yes,No,Auto-Approved,Policy Engine,Yes,Categorized,Expense categorized → Budget updated,No,No,No,No,No,Local DMV vendor; voluntarily identified as Veteran-Owned,No,Yes
TXN-2026-0024,01/24/2026,1,24,2026,Miscellaneous,8121.82,2142.22,5979.60,100000.00,57997.42,0.4200,Community event expense,Commonwealth Service Hub,Falls Church,VA,Yes,Not Disclosed,INV-0124-0024,01/20/2026,02/04/2026,02/24/2026,Paid Late,35,No,No,Auto-Approved,Policy Engine,Yes,Categorized,Expense categorized → Budget updated → Exception flagged,No,No,No,No,Yes,Vendor payment was late; review payment process,No,Yes
TXN-2026-0025,01/25/2026,1,25,2026,Operations,8225.94,2519.30,5706.64,100000.00,55478.12,0.4452,Inventory and fulfillment support,Capital Operations Group,Washington,DC,Yes,Woman-Owned,INV-0125-0025,01/21/2026,02/20/2026,02/22/2026,Paid Late,32,No,Yes,Approved,Taylor Johnson,Yes,Categorized,Expense categorized → Budget updated → Approval workflow triggered → Exception flagged,No,No,No,No,Yes,Vendor payment was late; review payment process,No,Yes
TXN-2026-0026,01/26/2026,1,26,2026,Payroll,12500.00,860.71,11639.29,100000.00,54617.41,0.4538,Hourly staff payroll,Internal Payroll,Washington,DC,Yes,Not Disclosed,INV-0126-0026,01/22/2026,02/21/2026,02/03/2026,Paid On Time,12,Yes,No,Auto-Approved,Policy Engine,Yes,Categorized,Expense categorized → Budget updated,No,No,No,No,No,Local DMV vendor,No,Yes
TXN-2026-0027,01/27/2026,1,27,2026,Miscellaneous,12815.92,445.40,12370.52,100000.00,54172.01,0.4583,Small business operating expense,Neighborhood Business Market,Washington,DC,Yes,Woman-Owned,INV-0127-0027,01/27/2026,02/26/2026,02/13/2026,Paid On Time,17,Yes,No,Auto-Approved,Policy Engine,Yes,Categorized,Expense categorized → Budget updated,No,No,No,No,No,Local DMV vendor; voluntarily identified as Woman-Owned,No,Yes
TXN-2026-0028,01/28/2026,1,28,2026,—,13803.12,0.00,13803.12,100000.00,54172.01,0.4583,Revenue-only day; no expense recorded,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,Not Applicable,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No expense workflow needed,No,No,No,No,No,No vendor payment on this date,No,Yes
TXN-2026-0029,01/29/2026,1,29,2026,—,14464.10,0.00,14464.10,100000.00,54172.01,0.4583,Revenue-only day; no expense recorded,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,Not Applicable,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No expense workflow needed,No,No,No,No,No,No vendor payment on this date,No,Yes
TXN-2026-0030,01/30/2026,1,30,2026,Payroll,15935.43,3319.95,12615.48,100000.00,50852.06,0.4915,Operations team payroll,Internal Payroll,Washington,DC,Yes,Woman-Owned,INV-0130-0030,01/29/2026,02/28/2026,02/10/2026,Paid On Time,12,Yes,Yes,Approved,Morgan Davis,Yes,Categorized,Expense categorized → Budget updated → Approval workflow triggered,No,No,No,No,No,Local DMV vendor; voluntarily identified as Woman-Owned,No,Yes
TXN-2026-0031,01/31/2026,1,31,2026,Travel,8060.67,668.72,7391.95,100000.00,50183.34,0.4982,Mileage and transit reimbursement,DMV Mobility Partners,College Park,MD,Yes,Veteran-Owned,INV-0131-0031,01/28/2026,03/14/2026,03/08/2026,Paid On Time,39,Yes,No,Auto-Approved,Policy Engine,Yes,Categorized,Expense categorized → Budget updated,No,No,No,No,No,Local DMV vendor; voluntarily identified as Veteran-Owned,No,Yes
TXN-2026-0032,02/01/2026,2,1,2026,Software & Subscriptions,7617.57,4669.28,2948.29,100000.00,95330.72,0.0467,Monthly software licenses,Blue Ridge Digital Tools,Arlington,VA,Yes,Veteran-Owned,INV-0201-0032,01/30/2026,03/16/2026,03/05/2026,Paid On Time,34,Yes,Yes,Approved,Morgan Davis,Yes,Categorized,Expense categorized → Budget updated → Approval workflow triggered → Exception flagged,No,Yes,Yes,No,Yes,Local DMV vendor; voluntarily identified as Veteran-Owned,No,Yes
TXN-2026-0033,02/02/2026,2,2,2026,Payroll,15536.63,4197.91,11338.72,100000.00,91132.81,0.0887,Operations team payroll,Internal Payroll,Washington,DC,Yes,Not Disclosed,INV-0202-0033,01/30/2026,03/01/2026,03/06/2026,Paid Late,35,No,Yes,Approved,Jordan Lee,Yes,Categorized,Expense categorized → Budget updated → Approval workflow triggered → Exception flagged,No,Yes,No,No,Yes,Vendor payment was late; review payment process,No,Yes
TXN-2026-0034,02/03/2026,2,3,2026,Miscellaneous,13509.16,1074.94,12434.22,100000.00,90057.87,0.0994,Community event expense,Beltway General Services,Takoma Park,MD,Yes,LGBTQ+-Owned,INV-0203-0034,02/03/2026,03/20/2026,03/02/2026,Paid On Time,27,Yes,No,Auto-Approved,Policy Engine,Yes,Categorized,Expense categorized → Budget updated,No,No,No,No,No,Local DMV vendor; voluntarily identified as LGBTQ+-Owned,No,Yes
TXN-2026-0035,02/04/2026,2,4,2026,Equipment,13853.22,4420.99,9432.23,100000.00,85636.88,0.1436,Computer equipment purchase,DMV Office Tech,Silver Spring,MD,Yes,Woman-Owned,INV-0204-0035,02/04/2026,03/06/2026,03/02/2026,Paid On Time,26,Yes,Yes,Approved,Taylor Johnson,Yes,Categorized,Expense categorized → Budget updated → Approval workflow triggered → Exception flagged,No,Yes,Yes,No,Yes,Local DMV vendor; voluntarily identified as Woman-Owned,No,Yes
TXN-2026-0036,02/05/2026,2,5,2026,Payroll,14855.36,4470.31,10385.05,100000.00,81166.57,0.1883,Administrative payroll,Internal Payroll,Washington,DC,Yes,Not Disclosed,INV-0205-0036,02/05/2026,03/07/2026,03/06/2026,Paid On Time,29,Yes,Yes,Approved,Jordan Lee,Yes,Categorized,Expense categorized → Budget updated → Approval workflow triggered → Exception flagged,No,Yes,No,No,Yes,Local DMV vendor,No,Yes
TXN-2026-0037,02/06/2026,2,6,2026,—,16098.38,0.00,16098.38,100000.00,81166.57,0.1883,Revenue-only day; no expense recorded,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,Not Applicable,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No expense workflow needed,No,No,No,No,No,No vendor payment on this date,No,Yes
TXN-2026-0038,02/07/2026,2,7,2026,Miscellaneous,7097.26,4553.31,2543.95,100000.00,76613.26,0.2339,Small business operating expense,Commonwealth Service Hub,Falls Church,VA,Yes,Disability-Owned,INV-0207-0038,02/03/2026,03/05/2026,02/21/2026,Paid On Time,18,Yes,Yes,Approved,Morgan Davis,Yes,Categorized,Expense categorized → Budget updated → Approval workflow triggered → Exception flagged,No,Yes,Yes,No,Yes,Local DMV vendor; voluntarily identified as Disability-Owned,No,Yes
TXN-2026-0039,02/08/2026,2,8,2026,Payroll,6127.68,4697.63,1430.05,100000.00,71915.63,0.2808,Administrative payroll,Internal Payroll,Washington,DC,Yes,Not Disclosed,INV-0208-0039,02/05/2026,03/22/2026,03/03/2026,Paid On Time,26,Yes,Yes,Approved,Morgan Davis,Yes,Categorized,Expense categorized → Budget updated → Approval workflow triggered → Exception flagged,No,Yes,Yes,No,Yes,Local DMV vendor,No,Yes
TXN-2026-0040,02/09/2026,2,9,2026,Professional Services,14611.91,4552.85,10059.06,100000.00,67362.78,0.3264,Business advisory services,Potomac Legal & Advisory,Bethesda,MD,Yes,Not Disclosed,INV-0209-0040,02/07/2026,02/22/2026,02/10/2026,Paid On Time,3,Yes,Yes,Approved,Casey Williams,Yes,Categorized,Expense categorized → Budget updated → Approval workflow triggered → Exception flagged,No,Yes,Yes,No,Yes,Local DMV vendor,No,Yes
TXN-2026-0041,02/10/2026,2,10,2026,Miscellaneous,13006.56,2117.59,10888.97,100000.00,65245.19,0.3475,General administrative purchase,Commonwealth Service Hub,Falls Church,VA,Yes,Not Disclosed,INV-0210-0041,02/10/2026,03/27/2026,02/12/2026,Paid On Time,2,Yes,No,Auto-Approved,Policy Engine,Yes,Categorized,Expense categorized → Budget updated,No,No,No,No,No,Local DMV vendor,No,Yes
TXN-2026-0042,02/11/2026,2,11,2026,Utilities,13223.91,3465.21,9758.70,100000.00,61779.98,0.3822,Internet and phone service,Pepco,Washington,DC,Yes,Woman-Owned,INV-0211-0042,02/09/2026,03/11/2026,02/13/2026,Paid On Time,4,Yes,Yes,Approved,Morgan Davis,Yes,Categorized,Expense categorized → Budget updated → Approval workflow triggered,No,No,No,No,No,Local DMV vendor; voluntarily identified as Woman-Owned,No,Yes
TXN-2026-0043,02/12/2026,2,12,2026,Travel,14059.57,2187.17,11872.40,100000.00,59592.81,0.4041,Local business travel,Capital Transit Services,Washington,DC,Yes,Minority-Owned,INV-0212-0043,02/08/2026,03/25/2026,03/08/2026,Paid On Time,28,Yes,No,Auto-Approved,Policy Engine,Yes,Categorized,Expense categorized → Budget updated,No,No,No,No,No,Local DMV vendor; voluntarily identified as Minority-Owned,No,Yes
TXN-2026-0044,02/13/2026,2,13,2026,Utilities,14593.33,447.72,14145.61,100000.00,59145.09,0.4085,Electric utility payment,Dominion Energy Virginia,Richmond,VA,Yes,Woman-Owned,INV-0213-0044,02/10/2026,03/12/2026,02/21/2026,Paid On Time,11,Yes,No,Auto-Approved,Policy Engine,Yes,Categorized,Expense categorized → Budget updated,No,No,No,No,No,Local DMV vendor; voluntarily identified as Woman-Owned,No,Yes
TXN-2026-0045,02/14/2026,2,14,2026,Miscellaneous,5882.95,1174.01,4708.94,100000.00,57971.08,0.4203,Unplanned business expense,Beltway General Services,Takoma Park,MD,Yes,Minority-Owned,INV-0214-0045,02/09/2026,03/11/2026,03/06/2026,Paid On Time,25,Yes,No,Auto-Approved,Policy Engine,Yes,Categorized,Expense categorized → Budget updated,No,No,No,No,No,Local DMV vendor; voluntarily identified as Minority-Owned,No,Yes
TXN-2026-0046,02/15/2026,2,15,2026,Utilities,6109.37,463.41,5645.96,100000.00,57507.67,0.4249,Gas utility payment,Pepco,Washington,DC,Yes,Not Disclosed,INV-0215-0046,02/10/2026,03/27/2026,03/07/2026,Paid On Time,25,Yes,No,Auto-Approved,Policy Engine,Yes,Categorized,Expense categorized → Budget updated,No,No,No,No,No,Local DMV vendor,No,Yes
TXN-2026-0047,02/16/2026,2,16,2026,Equipment,12490.22,1256.72,11233.50,100000.00,56250.95,0.4375,Office equipment replacement,DMV Office Tech,Silver Spring,MD,Yes,LGBTQ+-Owned,INV-0216-0047,02/16/2026,03/18/2026,02/28/2026,Paid On Time,12,Yes,No,Auto-Approved,Policy Engine,Yes,Categorized,Expense categorized → Budget updated → Exception flagged,Yes,No,No,No,Yes,Local DMV vendor; voluntarily identified as LGBTQ+-Owned,No,Yes
TXN-2026-0048,02/17/2026,2,17,2026,Operations,15307.50,3513.59,11793.91,100000.00,52737.36,0.4726,Facility operations expense,Capital Operations Group,Washington,DC,Yes,Woman-Owned,INV-0217-0048,02/14/2026,03/31/2026,03/14/2026,Paid On Time,28,Yes,Yes,Approved,Morgan Davis,Yes,Categorized,Expense categorized → Budget updated → Approval workflow triggered,No,No,No,No,No,Local DMV vendor; voluntarily identified as Woman-Owned,No,Yes
TXN-2026-0049,02/18/2026,2,18,2026,Utilities,16258.49,3798.48,12460.01,100000.00,48938.88,0.5106,Electric utility payment,Dominion Energy Virginia,Richmond,VA,Yes,Woman-Owned,INV-0218-0049,02/15/2026,04/01/2026,03/09/2026,Paid On Time,22,Yes,Yes,Approved,Taylor Johnson,Yes,Categorized,Expense categorized → Budget updated → Approval workflow triggered,No,No,No,No,No,Local DMV vendor; voluntarily identified as Woman-Owned,No,Yes
TXN-2026-0050,02/19/2026,2,19,2026,Payroll,15940.99,3214.27,12726.72,100000.00,45724.61,0.5428,Hourly staff payroll,Internal Payroll,Washington,DC,Yes,Disability-Owned,INV-0219-0050,02/17/2026,04/03/2026,02/22/2026,Paid On Time,5,Yes,Yes,Approved,Casey Williams,Yes,Categorized,Expense categorized → Budget updated → Approval workflow triggered,No,No,No,No,No,Local DMV vendor; voluntarily identified as Disability-Owned,No,Yes
TXN-2026-0051,02/20/2026,2,20,2026,Marketing,13958.91,3281.15,10677.76,100000.00,42443.46,0.5756,Digital advertising campaign,Anacostia Creative Studio,Washington,DC,Yes,Minority-Owned,INV-0220-0051,02/18/2026,04/04/2026,03/13/2026,Paid On Time,23,Yes,Yes,Approved,Jordan Lee,Yes,Categorized,Expense categorized → Budget updated → Approval workflow triggered,No,No,No,No,No,Local DMV vendor; voluntarily identified as Minority-Owned,No,Yes
TXN-2026-0052,02/21/2026,2,21,2026,Office Supplies,10166.93,3536.19,6630.74,100000.00,38907.27,0.6109,General office supplies,Nova Workspace Goods,Fairfax,VA,Yes,Not Disclosed,INV-0221-0052,02/18/2026,04/04/2026,03/05/2026,Paid On Time,15,Yes,Yes,Approved,Casey Williams,Yes,Categorized,Expense categorized → Budget updated → Approval workflow triggered,No,No,No,Watch,No,Local DMV vendor,No,Yes
TXN-2026-0053,02/22/2026,2,22,2026,Utilities,9365.81,1034.47,8331.34,100000.00,37872.80,0.6213,Gas utility payment,Washington Gas,Washington,DC,Yes,Not Disclosed,INV-0222-0053,02/19/2026,04/05/2026,03/16/2026,Paid On Time,25,Yes,No,Auto-Approved,Policy Engine,Yes,Categorized,Expense categorized → Budget updated,No,No,No,Watch,No,Local DMV vendor,No,Yes
TXN-2026-0054,02/23/2026,2,23,2026,Software & Subscriptions,14409.90,2301.22,12108.68,100000.00,35571.58,0.6443,Cloud hosting and storage,Blue Ridge Digital Tools,Arlington,VA,Yes,Disability-Owned,INV-0223-0054,02/23/2026,03/10/2026,03/26/2026,Paid Late,31,No,No,Auto-Approved,Policy Engine,Yes,Categorized,Expense categorized → Budget updated → Exception flagged,No,No,No,Watch,Yes,Vendor payment was late; review payment process,No,Yes
TXN-2026-0055,02/24/2026,2,24,2026,Equipment,16295.74,605.28,15690.46,100000.00,34966.30,0.6503,Office equipment replacement,District Business Supply,Washington,DC,Yes,Minority-Owned,INV-0224-0055,02/23/2026,03/10/2026,03/22/2026,Paid Late,27,No,No,Auto-Approved,Policy Engine,Yes,Categorized,Expense categorized → Budget updated → Exception flagged,No,No,No,Watch,Yes,Vendor payment was late; review payment process,No,Yes
TXN-2026-0056,02/25/2026,2,25,2026,Marketing,15329.44,4655.83,10673.61,100000.00,30310.47,0.6969,Community outreach materials,Arlington Media Lab,Arlington,VA,Yes,LGBTQ+-Owned,INV-0225-0056,02/25/2026,04/11/2026,03/19/2026,Paid On Time,22,Yes,Yes,Approved,Casey Williams,Yes,Categorized,Expense categorized → Budget updated → Approval workflow triggered → Exception flagged,No,Yes,No,Watch,Yes,Local DMV vendor; voluntarily identified as LGBTQ+-Owned,No,Yes
TXN-2026-0057,02/26/2026,2,26,2026,—,16548.01,0.00,16548.01,100000.00,30310.47,0.6969,Revenue-only day; no expense recorded,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,Not Applicable,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No expense workflow needed,No,No,No,No,No,No vendor payment on this date,No,Yes
TXN-2026-0058,02/27/2026,2,27,2026,Utilities,13215.77,4170.62,9045.15,100000.00,26139.85,0.7386,Water and facility utilities,Pepco,Washington,DC,Yes,Not Disclosed,INV-0227-0058,02/26/2026,03/13/2026,04/02/2026,Paid Late,35,No,Yes,Approved,Casey Williams,Yes,Categorized,Expense categorized → Budget updated → Approval workflow triggered → Exception flagged,No,Yes,Yes,Watch,Yes,Vendor payment was late; review payment process,No,Yes
TXN-2026-0059,02/28/2026,2,28,2026,Marketing,9853.55,4731.69,5121.86,100000.00,21408.16,0.7859,Digital advertising campaign,Arlington Media Lab,Arlington,VA,Yes,Not Disclosed,INV-0228-0059,02/24/2026,03/26/2026,03/09/2026,Paid On Time,13,Yes,Yes,Approved,Morgan Davis,No,Categorized,Expense categorized → Budget updated → Approval workflow triggered → Exception flagged,No,Yes,No,Yes,Yes,Local DMV vendor,No,Yes
TXN-2026-0060,03/01/2026,3,1,2026,—,7056.29,0.00,7056.29,100000.00,100000.00,0.0000,Revenue-only day; no expense recorded,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,Not Applicable,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No expense workflow needed,No,No,No,No,No,No vendor payment on this date,No,Yes
TXN-2026-0061,03/02/2026,3,2,2026,Equipment,14522.04,3227.70,11294.34,100000.00,96772.30,0.0323,Computer equipment purchase,District Business Supply,Washington,DC,Yes,Woman-Owned,INV-0302-0061,03/02/2026,03/17/2026,03/05/2026,Paid On Time,3,Yes,Yes,Approved,Taylor Johnson,Yes,Categorized,Expense categorized → Budget updated → Approval workflow triggered,No,No,No,No,No,Local DMV vendor; voluntarily identified as Woman-Owned,No,Yes
